t;PPR3_05folio_sterkere_handelsvridninger;PPR3_05gap_sterkere_handelsvridninger;PPR3_05jae_sterkere_handelsvridninger;PPR1_06folio_lavere_inflasjon;PPR1_06gap_lavere_inflasjon;PPR1_06jae_lavere_inflasjon;PPR2_06folio_lavere_inflasjon;PPR2_06gap_lavere_inflasjon;PPR2_06jae_lavere_inflasjon;PPR3_06folio_lavere_inflasjon;PPR3_06gap_lavere_inflasjon;PPR3_06jae_lavere_inflasjon;PPR1_07folio_lavere_inflasjon;PPR1_07gap_lavere_inflasjon;PPR1_07jae_lavere_inflasjon;PPR2_07folio_lavere_inflasjon;PPR2_07gap_lavere_inflasjon;PPR2_07jae_lavere_inflasjon;PPR3_07folio_lavere_inflasjon;PPR3_07gap_lavere_inflasjon;PPR3_07jae_lavere_inflasjon;PPR1_08folio_lavere_inflasjon;PPR1_08gap_lavere_inflasjon;PPR1_08jae_lavere_inflasjon;PPR2_08folio_lavere_inflasjon;PPR2_08gap_lavere_inflasjon;PPR2_08xe_lavere_inflasjon;PPR3_08folio_lavere_etterspørsel;PPR3_08gap_lavere_etterspørsel;PPR3_08xe_lavere_etterspørsel;PPR1_09folio_lavere_etterspørsel;PPR1_09gap_lavere_etterspørsel;PPR1_09xe_lavere_etterspørsel;PPR2_09folio_lavere_etterspørsel;PPR2_09gap_lavere_etterspørsel;PPR2_09xe_lavere_etterspørsel;PPR3_09folio_lavere_inflasjon;PPR3_09gap_lavere_inflasjon;PPR3_09xe_lavere_inflasjon;PPR1_10folio_lavere_etterspørsel;PPR1_10gap_lavere_etterspørsel;PPR1_10xe_lavere_etterspørsel;PPR2_10folio_vedvarende_uro_Europa;PPR2_10gap_vedvarende_uro_Europa;PPR2_10xe_vedvarende_uro_Europa;PPR3_10folio_vedvarende_lav_vekst_verden;PPR3_10gap_vedvarende_lav_vekst_verden;PPR3_10xe_vedvarende_lav_vekst_verden;PPR1_11folio_sterkere_kronekurs;PPR1_11gap_sterkere_kronekurs;PPR1_11xe_sterkere_kronekurs;PPR2_11folio_svakere_vekst_ute;PPR2_11gap_svakere_vekst_ute;PPR2_11xe_svakere_vekst_ute;PPR3_11folio_lavere_vekst_ute;PPR3_11gap_lavere_vekst_ute;PPR3_11xe_lavere_vekst_ute;PPR1_12folio_lavere_prisvekst_og_kapasitetsutnytting;PPR2_12folio_lavere_vekst;Foliorente;Produksjonsgap;CPI;CPI-jae;CPI handelspartnere (20), sesongjustert;I44;Arbeidsledighet;BNP Norge, fate priser sesongjuster;BNP Fastlandsnorge, faste priser sesongjunster;K2 husholdningel andel av BNP;K2 husholdninger, chained;Boligprisindeks;Kreditt/GDP (sum k2 husholdninger og k3 ikke-finansielle foretak i FLN) ;Gjeld (endring) husholdninger, firekvartalsvekst. ;Gjeldsvekst;Boligprisvekst;Kreditt Gap mot trend ved ensidig HP-filter³;Kreditt Gap mot trend ved utvidet HP-filter²;Kreditt Gap mot snitt siste 10 år;Boligpris Gap mot trend med ensidig HP-filter⁴;Boligpris Gap mot trend med utvidet HP-filter³;BoligprisGap mot snitt (rekursivt);NæringseiendomGap mot trend ved ensidig HP-filter³;NæringseiendomGap mot trend ved utvidet HP-filter²;NæringseiendomGap mot snitt (rekursivt)
2004-03-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0195;-1.4;-1.3998250219;0.0923361034;99.4404296872;98.172;3.896;554315;426311.083395933;86.3515617059;1114791.4899216;91;149.67;11.14;11.10;9.29;11.95;8.01;22.39;12.23;8.61;16.57;-10.18;-8.99;-27.72
2004-06-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;-1.2;0.8603202847;0.2141544118;99.7942011353;94.9075;3.892;555922;427331.949418992;87.5917388426;1148991.73785745;92.4;151.54;11.72;11.80;11.68;12.78;9.22;23.43;11.85;8.04;17.05;-8.92;-7.98;-27.28
2004-09-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;-0.9;1.1901785714;0.2765818175;100.1365456392;96.0518;3.84;552221;434728.329865567;88.1273933651;1175587.80125009;92.6;152.36;11.11;11.10;12.22;12.56;9.25;23.36;13.22;9.14;19.48;-7.95;-7.25;-27.07
2004-12-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;-0.7;1.2440795145;0.8591160221;100.6205739806;93.1074;3.804;557838;439425.907161507;88.6880158841;1211095.16474871;93.6;150.01;11.28;11.40;10.40;9.34;6.27;20.14;13.74;9.59;21.07;-4.10;-4.18;-24.46
2005-03-31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;-0.4;1.0053238687;0.7380073801;100.9176441099;93.6292;3.678;561859;441411.119711494;90.0413029249;1241191.57434319;97.5;152.24;11.34;11.50;9.19;10.60;7.78;21.36;13.10;9.00;21.43;-3.32;-4.19;-24.27
2005-06-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.75;-0.1;1.5286635441;1.0088688746;101.2777064062;92.1303;3.571;569193;450786.972536797;90.7724565144;1285972.42118884;100.2;152.69;11.92;12.00;8.94;10.10;7.68;20.80;11.92;7.92;21.13;9.47;6.53;-14.18
2005-09-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;0.2;1.7647110727;1.2255555453;101.9520006174;90.6859;3.449;572476;451080.20869164;92.1768325342;1324213.08762103;101.1;154.16;12.64;12.70;8.62;10.58;8.51;21.20;12.02;8.25;22.23;9.52;4.71;-14.06
2005-12-31;2.2;0.45;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1602;0.5;1.7852597579;1.0654323355;102.4398711662;91.0361;3.294;574215;460938.671194134;93.7846700892;1373921.03279306;101.2;158.94;13.44;13.40;9.06;14.14;11.71;24.78;13.16;9.54;24.55;30.52;20.99;3.64
2006-03-31;2.4;0.61;1.3;2.3;0.73;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2923;0.65;2.2260680119;0.9157509158;102.7698145277;92.8843;2.908;575058;465717.879882359;93.4358833734;1408613.37432831;107.5;157.82;13.49;13.50;9.89;11.91;9.44;22.47;12.79;9.34;25.23;28.99;16.11;3.60
2006-06-30;2.4;0.73;1.3;2.54;0.95;0.94;2.59;1.09;0.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.5905;1.05;2.3744569939;0.7872299856;103.3666364477;89.8191;2.731;580022;467568.440303152;94.954372724;1451950.50577156;112.8;162.10;12.91;12.90;12.98;14.89;12.04;25.46;15.16;11.42;29.14;37.54;21.04;12.28
