t,CPI,PPR_dQ1,PPR_dQ2,PPR_dQ3,PPR_dQ4,PPR_dQ5,PPR_dQ6,PPR_dQ7,PPR_dQ8,PPR_dQ9,PPR_dQ10,PPR_dQ11,PPR_dQ12,PPR_dQ13,PPR_dQ14,PPR_dQ15,PPR_dQ16
2004-03-31,-1.3998250219,,,,,,,,,,,,,,,,
2004-06-30,0.8603202847,,,,,,,,,,,,,,,,
2004-09-30,1.1901785714,,,,,,,,,,,,,,,,
2004-12-31,1.2440795145,,,,,,,,,,,,,,,,
2005-03-31,1.0053238687000001,,,,,,,,,,,,,,,,
2005-06-30,1.5286635441,,,,,,,,,,,,,,,,
2005-09-30,1.7647110727000002,,,,,,,,,,,,,,,,
2005-12-31,1.7852597579,,,,,,,,,,,,,,,,
2006-03-31,2.2260680119,,,,,,,,,,,,,,,,
2006-06-30,2.3744569939,2.35,,,,,,,,,,,,,,,
2006-09-30,2.2257289761,,1.94,,,,,,,,,,,,,,
2006-12-31,2.5007114093,,2.57,2.48,,,,,,,,,,,,,
2007-03-31,1.0312201912999999,0.95,,2.31,2.49,,,,,,,,,,,,
2007-06-30,0.339463478,0.36,0.36,,1.03,1.42,,,,,,,,,,,
2007-09-30,0.1696352841,,0.56,0.37,,0.61,1.58,,,,,,,,,,
2007-12-31,1.3738043359,,1.08,1.19,0.97,,0.73,1.61,,,,,,,,,
2008-03-31,3.5435113595,3.58,,3.57,3.0,2.45,,1.34,1.91,,,,,,,,
2008-06-30,3.2139927093000003,3.37,2.88,,3.51,3.12,2.45,,1.83,2.11,,,,,,,
2008-09-30,4.7138018628,4.71,4.77,3.31,,3.56,2.85,2.36,,2.09,2.19,,,,,,
2008-12-31,3.5958506224,,3.88,4.32,2.72,,2.85,2.66,2.36,,2.32,2.21,,,,,
2009-03-31,2.437301307,2.43,,3.26,3.78,2.29,,2.09,2.3,2.29,,2.41,2.32,,,,
2009-06-30,3.1141849609,2.94,2.66,,3.78,3.96,3.08,,2.12,2.35,2.34,,2.49,2.36,,,
2009-09-30,1.7517472999,1.75,1.78,1.55,,2.76,2.75,2.81,,2.29,2.46,2.44,,2.52,2.4,,
2009-12-31,1.3887887551,,1.37,1.41,1.21,,2.65,2.26,2.44,,2.35,2.5,2.48,,2.54,2.49,
2010-03-31,2.94039027,2.97,,1.71,1.83,1.89,,2.79,2.49,2.49,,2.54,2.6,2.57,,,
2010-06-30,2.5960264901,2.56,2.3,,1.51,1.72,1.84,,2.71,2.5,2.57,,2.58,2.6,2.62,,
2010-09-30,1.8543046358000002,1.85,2.18,2.17,,1.89,1.84,1.88,,2.65,2.52,2.67,,2.62,2.6,2.62,
2010-12-31,2.212272847,,2.03,2.28,2.24,,1.91,2.01,1.94,,2.58,2.54,2.72,,2.62,2.6,2.62
